,name,price,condition,toeStyle,style,features,handmade,character,color,material,brand,occasion,sockLength,pattern,garmentCare,sizeType,theme,availability
62,Nike Men's Women Socks 3 Pairs Crew Everyday Cushioned Cotton Sports Gym Socks,15.2273,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Crew Socks,"Cushioned, Lightweight",No,"Andrea, Angel, Astro Boy, Blue",,Cotton,Nike,"Business, Casual, Formal",Mid Calf,No Pattern,Machine Washable,Regular,Sports,1721.0
63,Mens Womens Non Elastic Diabetic Socks Loose Soft Grip Top Adults Black 6 Pairs,16.4973,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Crew Socks,All Seasons,No,Boots,,Cotton,CTL,Casual,Mid Calf,No Pattern,Machine Washable,Regular,Modern,12.0
64,Mens Cotton Work Socks Solid Color British Style Business Weekly Dress Sock 8-12,3.6703,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Everyday Socks,,,,,Cotton Blend,Unbranded,Workwear,Trainer Socks,No Pattern,Machine Washable,Regular,Week socks,749.0
65,For Men Breathable Show Off Socks Middle Tube Socks Women Socks Female Hosiery,4.1275,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Cute,,,,,polyester fiber,Unbranded,,,,,,,144.0
67,5-20 Pairs Mens Cotton Rich Thick Warm Cushion Sole Sport Work Socks Size 6-11,8.8773,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Crew Socks,"All Seasons, Cushioned",No,sports,,Cotton Blend,CTL,"sports, Business, Casual, Formal, Workwear",Mid Calf,ribbed,Machine Washable,Regular,"gym, running, Sports",3132.0
68,mens white nike crew socks 3 Pairs,11.366499999999998,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,,,,,,Nike,Casual,,,,,,93.0
71,Mens black socks 12 pairs cotton rich socks mens 6-11,17.7673,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Dress Socks,"All Seasons, Antibacterial, Lightweight",No,,,"58% cotton, 40% polyester, and 2% elastane",SIMALA,"Business, Casual, Formal, Workwear",Mid Calf,No Pattern,Machine Washable,Regular,Classic,48.0
72,CAT Caterpillar Mens Real Work Socks 6 Pairs UK Sizes (6-9) (9-11) (11-14),18.9865,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Crew Socks,Cushioned,No,Boots,,"Cotton, Elastodiene, Polyester, Elastane",Caterpillar,"Casual, Workwear",Mid Calf,No Pattern,Machine Washable,Regular,Outdoor,37.0
73,For Gallery Dept Unisex Classic Basketball Socks Street Sports Socks 5 Pairs/Box,29.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Sneaker Socks,"All Seasons, Breathable, Cushioned, Moisture Wicking, Non-Slip, Slip Resistant",,,Multicolor,Cotton Blend,Unbranded,"Casual, Formal, Workwear",Mid Calf,Solid,,Regular,"Classic, Colorful, Retro, School, USA, University",17.0
74,Mens Extra Long 100% Soft Cotton Knee High Socks UK Size 6-11 EU 39-45 US 7-12,8.8773,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Knee Highs,"100% Cotton, Soft and comfortable for everyday wear, Extra Long with Grip Top, Treated with Ultra Fresh Antimicrobial Protection, Smooth Toe Finish, Lightweight",No,,,Cotton,Sock 100%,Casual,Knee High,Plain Rib,Machine Washable,Regular,"Plain, Classic, Colourful",389.0
